,Address,latitude,longtitude
145,ห้างเซ็นเตอร์วัน  ห้องเลขที่  1209  เลขที่ 1  ซ.เลิศปัญญา  ถ.ราชวิถี  แขวงพญาไท  เขตราชเทวี  จ.กรุงเทพมหานคร  10400,,
146,6 คณะทันตแพทย์ศาสตร์ มหาวิทยาลัยมหิดล อาคารเฉลิมพระเกียรติ 50 พรรษาฯ ถนนพญาไท แขวงทุ่งพญาไท  เขตราชเทวี  กรุงเทพมหานคร  10400,,
147,2089 ห้างเซ็นจูรี่ เดอะมูวี่ พลาซา สุขุมวิท ชั้นที่ 2  ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10260,,
148,ศูนย์การค้าเทอมินอล 21 ห้องเลขที่ KI-LG-403  ชั้นที่  LG  เลขที่  88  ซ.สุขุมวิท 19 (วัฒนา) ถ.สุขุมวิท  แขวงคลองเตยเหนือ เขตวัฒนา จ.กรุงเทพมหานคร  10110,,
149,114 ห้างบิ๊กซีอ่อนนุช ชั้น 1 ห้อง K 11  ถ. สุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา จ. กทม.  10110,,
150,แขวง ปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330,,
151,681 ถนน สามเสน แขวง วชิรพยาบาล เขตดุสิต กรุงเทพมหานคร 10300,,
152,เลขที่ 199 ถ. รัชดาภิเษก แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110,,
153,ศูนย์อาหารกินนี่ ชั้น 2 เลขที่ 2 ถ.พญาไท แขวงทุ่งพญาไท เขตราชเทวี กทม. 10400,,
154,2929 ห้างบิ๊กซีพระราม 4 ชั้น 1 ยูนิต FD 1  ถ.พระราม 4  แขวงคลองตัน เขตคลองเตย กรุงเทพฯ  10110,,
155,323  หมู่ 2  ต.สำราญ  อ.เมืองยโสธร  จ.ยโสธร  35000,,
156,437 ห้างโลตัส ยโสธร  หมู่ที่ 10 ตำบลสำราญ อำเภอเมืองยโสธร จังหวัดยโสธร 35000,,
157,เลขที่ 243 โลตัส สกลนคร ชั้น 1 ถ.ใสสว่าง ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000,,
158,เลขที่ 1594/16 ห้างบิ๊กซีสกลนคร ชั้น 1 ถ.รอบเมือง ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร 47000,,
159,โรบินสัน ไลฟ์สไตล์ สกลนคร เลขที่  88/8 ชั้น 1F ถ.นิตโย ต.ธาตุเชิงชุม อ.เมืองสกลนคร จ.สกลนคร  47000,,
160,เลขที่ 501 โลตัส สว่างแดนดิน หมู่ 2 ต.สว่างแดนดิน อ.สว่างแดนดิน จ.สกลนคร 47110,,
161,506  ห้างบิ๊กซี พังโคน หมู่ที่ 8  ตำบลพังโคน อำเภอพังโคน จังหวัดสกลนคร  47160,,
162,19 ห้างโลตัสสุรินทร์ ชั้น 1  ถ.หลักเมือง  ต. ในเมือง  อ. เมืองสุรินทร์ จ. สุรินทร์  32000,,
163,8 ห้างบิ๊กซีสุรินทร์ ชั้น 1 หอ้ง 109 ถ.หลักเมือง ต.ในเมือง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,,
164,101 ห้างโลตัสสุรินทร์พลาซา ถ.หนองดุม ต.ในเมือง อ.เมืองสุรินทร์ จ.สุรินทร์ 32000,,
